Rank,Club / Country,Club,Country,ELO
1757,VolynUkraine,Volyn,Ukraine,1280
1758,ÖrgryteSweden,Örgryte,Sweden,1280
1759,FalkirkScotland,Falkirk,Scotland,1280
1760,Sanat Naft AbadanIran,Sanat Naft Abadan,Iran,1280
1761,Real JuventudHonduras,Real Juventud,Honduras,1280
1762,Matsumoto YamagaJapan,Matsumoto Yamaga,Japan,1280
1763,Ocean Boys FCNigeria,Ocean Boys FC,Nigeria,1280
1764,Triangle FCZimbabwe,Triangle FC,Zimbabwe,1280
1765,Shakhter KaragandyKazakhstan,Shakhter Karagandy,Kazakhstan,1280
1766,Police Tero FCThailand,Police Tero FC,Thailand,1280
1767,New Star de DoualaCameroon,New Star de Douala,Cameroon,1280
1768,Al-Riyadh SCSaudi Arabia,Al-Riyadh SC,Saudi Arabia,1279
1769,AizawlIndia,Aizawl,India,1279
1770,NkwaziZambia,Nkwazi,Zambia,1279
1771,AluminijSlovenia,Aluminij,Slovenia,1279
1772,Al-SaltJordan,Al-Salt,Jordan,1279
1773,Sogakope WAFAGhana,Sogakope WAFA,Ghana,1279
1774,Turan TovuzAzerbaijan,Turan Tovuz,Azerbaijan,1279
1775,Puszcza NiepołomicePoland,Puszcza Niepołomice,Poland,1279
1776,Västerås SKSweden,Västerås SK,Sweden,1279
1777,FC Dunărea CălăraşiRomania,FC Dunărea Călăraşi,Romania,1279
1778,Río AbajoPanama,Río Abajo,Panama,1279
1779,GranitBelarus,Granit,Belarus,1279
1780,SønderjyskEDenmark,SønderjyskE,Denmark,1279
1781,San Jose EarthquakesUnited States,San Jose Earthquakes,United States,1278
1782,FK HaugesundNorway,FK Haugesund,Norway,1278
1783,Molinos El Pirata FCPeru,Molinos El Pirata FC,Peru,1278
1784,Ironi Ramat HaSharonIsrael,Ironi Ramat HaSharon,Israel,1278
1785,FK TambovRussia,FK Tambov,Russia,1278
1786,NK Tabor SežanaSlovenia,NK Tabor Sežana,Slovenia,1278
1787,Metalist 1925 KharkivUkraine,Metalist 1925 Kharkiv,Ukraine,1278
1788,PiraeSyria,Pirae,Syria,1278
1789,Čelik NikšićMontenegro,Čelik Nikšić,Montenegro,1278
1790,Botev VratsaBulgaria,Botev Vratsa,Bulgaria,1278
1791,SuvaFiji,Suva,Fiji,1278
1792,12 de Octubre de ItauguaParaguay,12 de Octubre de Itaugua,Paraguay,1278
1793,Persik KediriIndonesia,Persik Kediri,Indonesia,1278
1794,DragonTahiti,Dragon,Tahiti,1278
1795,C.D. Lunda SulAngola,C.D. Lunda Sul,Angola,1278
1796,Mezőkövesd-ZsóryHungary,Mezőkövesd-Zsóry,Hungary,1278
1797,BaniyasUnited Arab Emirates,Baniyas,United Arab Emirates,1278
1798,Miramar MisionesUruguay,Miramar Misiones,Uruguay,1278
1799,Mineros de GuayanaVenezuela,Mineros de Guayana,Venezuela,1278
1800,Guizhou HengfengChina PR,Guizhou HengfengChina PR,#N/A,1278
1801,Zemplin MichalovceSlovakia,Zemplin Michalovce,Slovakia,1277
1802,Hamam SousseTunisia,Hamam Sousse,Tunisia,1277
1803,Sogdiyona JizzaxUzbekistan,Sogdiyona Jizzax,Uzbekistan,1277
1804,FK Proleter Novi SadSerbia,FK Proleter Novi Sad,Serbia,1277
1805,RNK SplitCroatia,RNK Split,Croatia,1277
1806,Clan JuvenilEcuador,Clan Juvenil,Ecuador,1277
1807,CostuleniMoldova,Costuleni,Moldova,1277
1808,Union Sportive BougoubaMali,Union Sportive Bougouba,Mali,1277
1809,FK KolubaraSerbia,FK Kolubara,Serbia,1277
1810,Târgu MureşRomania,Târgu Mureş,Romania,1277
1811,CarmarthenWales,Carmarthen,Wales,1277
1812,Ikorodu UnitedNigeria,Ikorodu United,Nigeria,1276
1813,BekescsabaHungary,Bekescsaba,Hungary,1276
1814,FC LahtiFinland,FC Lahti,Finland,1276
1815,DiyarbakirsporTurkey,Diyarbakirspor,Turkey,1276
1816,CD EL VencedorEl Salvador,CD EL Vencedor,El Salvador,1276
1817,Progresso da Lunda SulAngola,Progresso da Lunda Sul,Angola,1276
1818,CortuluáColombia,Cortuluá,Colombia,1276
1819,Grbalj RadanoviciMontenegro,Grbalj Radanovici,Montenegro,1276
1820,Guadalupe FCCosta Rica,Guadalupe FC,Costa Rica,1276
1821,Portuguesa FCVenezuela,Portuguesa FC,Venezuela,1276
1822,RenovaMacedonia,Renova,Macedonia,1276
1823,Yokohama FCJapan,Yokohama FC,Japan,1276
1824,AS SlimaneTunisia,AS Slimane,Tunisia,1276
1825,Havadar S.C.Iran,Havadar S.C.,Iran,1275
1826,Douanes NiameyNiger,Douanes Niamey,Niger,1275
1827,Sandecja Nowy SączPoland,Sandecja Nowy Sącz,Poland,1275
1828,Lamphun WarriorThailand,Lamphun Warrior,Thailand,1275
1829,Jeunesse Sportive SoualemMorocco,Jeunesse Sportive Soualem,Morocco,1275
1830,Ayacucho FCPeru,Ayacucho FC,Peru,1275
1831,Universitatea CraiovaRomania,Universitatea Craiova,Romania,1275
1832,Ajman ClubUnited Arab Emirates,Ajman Club,United Arab Emirates,1275
1833,PAS GianninaGreece,PAS Giannina,Greece,1275
1834,Waasland-BeverenBelgium,Waasland-Beveren,Belgium,1275
1835,Santos de GuápilesCosta Rica,Santos de Guápiles,Costa Rica,1275
1836,Partick ThistleScotland,Partick Thistle,Scotland,1275
1837,Hienghène SportNew Caledonia,Hienghène Sport,New Caledonia,1275
1838,Deportivo del EstePanama,Deportivo del Este,Panama,1274
1839,Gyirmót SEHungary,Gyirmót SE,Hungary,1274
1840,FK IskraMontenegro,FK Iskra,Montenegro,1274
1841,Chabab Rif Al HoceimaMorocco,Chabab Rif Al Hoceima,Morocco,1274
1842,Aragua FCVenezuela,Aragua FC,Venezuela,1274
1843,TelOne FCZimbabwe,TelOne FC,Zimbabwe,1274
1844,Esan UnitedThailand,Esan United,Thailand,1274
1845,Fajr SepasiIran,Fajr Sepasi,Iran,1274
1846,Politehnica IaşiRomania,Politehnica Iaşi,Romania,1274
1847,Voinţa SibiuRomania,Voinţa Sibiu,Romania,1274
1848,FK Mladost Novi SadSerbia,FK Mladost Novi Sad,Serbia,1274
1849,Moors World of Sport FCZimbabwe,Moors World of Sport FC,Zimbabwe,1274
1850,BełchatówPoland,Bełchatów,Poland,1274
1851,Chapungu UnitedZimbabwe,Chapungu United,Zimbabwe,1273
1852,Al-Okhdood ClubSaudi Arabia,Al-Okhdood Club,Saudi Arabia,1273
1853,JC AbidjanIvory Coast,JC Abidjan,Ivory Coast,1273
1854,Dan KassawaNiger,Dan Kassawa,Niger,1273
1855,Juventud RetaltecaGuatemala,Juventud Retalteca,Guatemala,1273
1856,UranaNiger,Urana,Niger,1273
1857,VenusSyria,Venus,Syria,1273
1858,Santa Lucia CotzumalguapaGuatemala,Santa Lucia Cotzumalguapa,Guatemala,1273
1859,Chengdu BladesChina PR,Chengdu BladesChina PR,#N/A,1272
1860,Académica do SoyoAngola,Académica do Soyo,Angola,1272
1861,BrommapojkarnaSweden,Brommapojkarna,Sweden,1272
1862,AS MatelotsCameroon,AS Matelots,Cameroon,1272
1863,Araz PFKAzerbaijan,Araz PFK,Azerbaijan,1272
1864,Ferroviário da BeiraMozambique,Ferroviário da Beira,Mozambique,1272
1865,ACS Poli TimişoaraRomania,ACS Poli Timişoara,Romania,1272
1866,Njala QuanCameroon,Njala Quan,Cameroon,1272
1867,FK Tekstilac OdžaciSerbia,FK Tekstilac Odžaci,Serbia,1272
1868,AaBDenmark,AaB,Denmark,1272
1869,SOL FCIvory Coast,SOL FC,Ivory Coast,1272
1870,HŠK PosušjeBosnia and Herzegovina,HŠK PosušjeBosnia and,Herzegovina,1272
1871,BaFiji,Ba,Fiji,1272
1872,Lausanne SportSwitzerland,Lausanne Sport,Switzerland,1272
1873,Haidob En NahudSudan,Haidob En Nahud,Sudan,1272
1874,DravaSlovenia,Drava,Slovenia,1271
1875,MuğanAzerbaijan,Muğan,Azerbaijan,1271
1876,Sacachispas ChiquimulaGuatemala,Sacachispas Chiquimula,Guatemala,1271
1877,FC Rapid GhidighiciMoldova,FC Rapid Ghidighici,Moldova,1271
1878,CambuurNetherlands,Cambuur,Netherlands,1271
1879,Mersin İdmanyurduTurkey,Mersin İdmanyurdu,Turkey,1271
1880,KPVFinland,KPV,Finland,1271
1881,JavorSerbia,Javor,Serbia,1271
1882,Violette ACHaiti,Violette AC,Haiti,1271
1883,Shabab Al SahelLebanon,Shabab Al Sahel,Lebanon,1271
1884,Persiwa WamenaIndonesia,Persiwa Wamena,Indonesia,1271
1885,Wydad FèsMorocco,Wydad Fès,Morocco,1271
1886,Sreenidi DeccanIndia,Sreenidi Deccan,India,1271
1887,Green EaglesZambia,Green Eagles,Zambia,1271
1888,FC Luch MinskBelarus,FC Luch Minsk,Belarus,1270
1889,Umm-SalalQatar,Umm-Salal,Qatar,1270
1890,Dalkurd FFSweden,Dalkurd FF,Sweden,1270
1891,NAPSA Stars FCZambia,NAPSA Stars FC,Zambia,1270
1892,Black MambasZimbabwe,Black Mambas,Zimbabwe,1270
1893,Shooting StarsZimbabwe,Shooting Stars,Zimbabwe,1270
1894,C.D. CacahuatiqueEl Salvador,C.D. Cacahuatique,El Salvador,1270
1895,Okzhetpes KokshetauKazakhstan,Okzhetpes Kokshetau,Kazakhstan,1270
1896,Atlético de KolkataIndia,Atlético de Kolkata,India,1270
1897,Zoman FCIvory Coast,Zoman FC,Ivory Coast,1270
1898,SCR AltachAustria,SCR Altach,Austria,1270
1899,IFK MariehamnFinland,IFK Mariehamn,Finland,1270
1900,RoPS RovaniemiFinland,RoPS Rovaniemi,Finland,1270
1901,Lokomotiv Gorna OryahovitsaBulgaria,Lokomotiv Gorna Oryahovitsa,Bulgaria,1270
1902,Deportivo ChiantlaGuatemala,Deportivo Chiantla,Guatemala,1270
1903,Macarthur FCAustralia,Macarthur FC,Australia,1270
1904,Oestersunds FKSweden,Oestersunds FK,Sweden,1270
1905,ESPOLIEcuador,ESPOLI,Ecuador,1270
1906,FC VolendamNetherlands,FC Volendam,Netherlands,1270
1907,Union Deportivo UniversitarioPanama,Union Deportivo Universitario,Panama,1269
1908,JUTH FCNigeria,JUTH FC,Nigeria,1269
1909,FC PyunikArmenia,FC Pyunik,Armenia,1269
1910,Meizhou Hakka F.C.China PR,Meizhou Hakka F.C.China PR,#N/A,1269
1911,AtenasUruguay,Atenas,Uruguay,1269
1912,Esbjerg fBDenmark,Esbjerg fB,Denmark,1269
1913,Lion City Sailors FCSingapore,Lion City Sailors FC,Singapore,1269
1914,Dunav RuseBulgaria,Dunav Ruse,Bulgaria,1269
1915,Karmiotissa Pano PolemidionCyprus,Karmiotissa Pano Polemidion,Cyprus,1269
1916,Shahin Bushehr FCIran,Shahin Bushehr FC,Iran,1269
1917,Black RhinosZimbabwe,Black Rhinos,Zimbabwe,1269
1918,PoliceTrinidad and Tobago,PoliceTrinidad and,Tobago,1269
1919,Afrique Football ÉliteMali,Afrique Football Élite,Mali,1269
1920,Al-SailiyaQatar,Al-Sailiya,Qatar,1269
1921,Army UnitedThailand,Army United,Thailand,1269
1922,Shijiazhuang Ever BrightChina PR,Shijiazhuang Ever BrightChina PR,#N/A,1269
1923,Odra WodzisławPoland,Odra Wodzisław,Poland,1269
1924,SV RiedAustria,SV Ried,Austria,1268
1925,EaglesZimbabwe,Eagles,Zimbabwe,1268
1926,St. GeorgeEthiopia,St. George,Ethiopia,1268
1927,Granit MikashevichiBelarus,Granit Mikashevichi,Belarus,1268
1928,Vendsyssel FFDenmark,Vendsyssel FF,Denmark,1268
1929,Volga NyzhnyiRussia,Volga Nyzhnyi,Russia,1268
1930,Hay al-Arab (SUD)Sudan,Hay al-Arab (SUD),Sudan,1268
1931,How MineZimbabwe,How Mine,Zimbabwe,1268
1932,FC MaktaaralKazakhstan,FC Maktaaral,Kazakhstan,1268
1933,GoricaSlovenia,Gorica,Slovenia,1268
1934,Avenir de La MarsaTunisia,Avenir de La Marsa,Tunisia,1268
1935,USM BlidaAlgeria,USM Blida,Algeria,1268
1936,SKA-KhabarovskRussia,SKA-Khabarovsk,Russia,1268
1937,AkokanaNiger,Akokana,Niger,1268
1938,F91 DudelangeLuxembourg,F91 Dudelange,Luxembourg,1268
1939,FK ZemunSerbia,FK Zemun,Serbia,1267
1940,Henderson EelsSolomon Islands,Henderson Eels,Solomon Islands,1267
1941,DC UnitedUnited States,DC United,United States,1267
1942,Binga FCMali,Binga FC,Mali,1267
1943,Sololá FCGuatemala,Sololá FC,Guatemala,1267
1944,Víkingur ReykjavikIceland,Víkingur Reykjavik,Iceland,1267
1945,Al WahdaSaudi Arabia,Al Wahda,Saudi Arabia,1267
1946,Nogoom FCEgypt,Nogoom FC,Egypt,1267
1947,Scottland Football ClubZimbabwe,Scottland Football Club,Zimbabwe,1267
1948,General DíazParaguay,General Díaz,Paraguay,1267
1949,BarnecheaChile,Barnechea,Chile,1267
1950,Flint Town UnitedWales,Flint Town United,Wales,1267
1951,GreenFuel FCZimbabwe,GreenFuel FC,Zimbabwe,1266
1952,CerritoUruguay,Cerrito,Uruguay,1266
1953,Akritas ChlorakasCyprus,Akritas Chlorakas,Cyprus,1266
1954,Dukla Banska BystricaSlovakia,Dukla Banska Bystrica,Slovakia,1266
1955,OFTA FCCameroon,OFTA FC,Cameroon,1266
1956,Nalkutan FCVanuatu,Nalkutan FC,Vanuatu,1266
1957,Adana DemirsporTurkey,Adana Demirspor,Turkey,1266
1958,DubnicaSlovakia,Dubnica,Slovakia,1266
1959,CD das AvesPortugal,CD das Aves,Portugal,1266
1960,Persis SoloIndonesia,Persis Solo,Indonesia,1266
1961,Bulawayo ChiefsZimbabwe,Bulawayo Chiefs,Zimbabwe,1266
1962,Royal WahingdohIndia,Royal Wahingdoh,India,1266
1963,AL Shorta SCIraq,AL Shorta SC,Iraq,1266
1964,Atlético Sport AviaçãoAngola,Atlético Sport Aviação,Angola,1266
1965,SumqayıtAzerbaijan,Sumqayıt,Azerbaijan,1266
1966,AS SaléMorocco,AS Salé,Morocco,1266
1967,Athlone TownIreland,Athlone Town,Ireland,1266
1968,AarauSwitzerland,Aarau,Switzerland,1266
1969,Atlético VenezuelaVenezuela,Atlético Venezuela,Venezuela,1265
1970,Termalica NiecieczaPoland,Termalica Nieciecza,Poland,1265
1971,Podbeskidzie Bielsko-BialaPoland,Podbeskidzie Bielsko-Biala,Poland,1265
1972,Al Ahli BenghaziLibya,Al Ahli Benghazi,Libya,1265
1973,Vejle BoldklubDenmark,Vejle Boldklub,Denmark,1265
1974,JSM LaâyouneMorocco,JSM Laâyoune,Morocco,1265
1975,AS KorofinaMali,AS Korofina,Mali,1265
1976,Haras El-Hodood SCEgypt,Haras El-Hodood SC,Egypt,1265
1977,Dunaújváros Pálhalma SEHungary,Dunaújváros Pálhalma SE,Hungary,1265
1978,Nakhon Ratchasima FCThailand,Nakhon Ratchasima FC,Thailand,1265
1979,Once MunicipalEl Salvador,Once Municipal,El Salvador,1265
1980,NK ZadarCroatia,NK Zadar,Croatia,1265
1981,Baroka FCSouth Africa,Baroka FC,South Africa,1265
1982,Vision FCGhana,Vision FC,Ghana,1264
1983,PSBS BiakIndonesia,PSBS Biak,Indonesia,1264
1984,KCCA FCTogo,KCCA FC,Togo,1264
1985,Wiener NeustadtAustria,Wiener Neustadt,Austria,1264
1986,MedimurjeCroatia,Medimurje,Croatia,1264
1987,Persiba BalikpapanIndonesia,Persiba Balikpapan,Indonesia,1264
1988,Grombalia SportsTunisia,Grombalia Sports,Tunisia,1264
1989,Béni-KhalledTunisia,Béni-Khalled,Tunisia,1264
1990,Al Nahdha DammamSaudi Arabia,Al Nahdha Dammam,Saudi Arabia,1264
1991,CD VidaHonduras,CD Vida,Honduras,1264
1992,Mufulira WanderersZambia,Mufulira Wanderers,Zambia,1263
1993,Buffaloes FCZimbabwe,Buffaloes FC,Zimbabwe,1263
1994,San Juan FCPuerto Rico,San Juan FC,Puerto Rico,1263
1995,Usc BassamIvory Coast,Usc Bassam,Ivory Coast,1263
1996,TefanaTahiti,Tefana,Tahiti,1263
1997,Othellos Athienou FCCyprus,Othellos Athienou FC,Cyprus,1263
1998,Comerciantes UnidosPeru,Comerciantes Unidos,Peru,1263
1999,FK Donji SremSerbia,FK Donji Srem,Serbia,1263
2000,Shark XICongo DR,Shark XICongo DR,#N/A,1263
2001,Dalian Professional FCChina PR,Dalian Professional FCChina PR,#N/A,1263
2002,Chainat FCThailand,Chainat FC,Thailand,1263
2003,Atlético BalboaEl Salvador,Atlético Balboa,El Salvador,1263
2004,PSPS PekanbaruIndonesia,PSPS Pekanbaru,Indonesia,1263
2005,Hapoel Nof HaGalilIsrael,Hapoel Nof HaGalil,Israel,1263
2006,FK Jezero PlavMontenegro,FK Jezero Plav,Montenegro,1263
2007,Zamfara United FCNigeria,Zamfara United FC,Nigeria,1263
2008,Veti ClubCongo DR,Veti ClubCongo DR,#N/A,1262
2009,Al Hilal KadougliSudan,Al Hilal Kadougli,Sudan,1262
2010,Al Ahli KhartoumSudan,Al Ahli Khartoum,Sudan,1262
2011,Wuachon UnitedThailand,Wuachon United,Thailand,1262
2012,Resistencia Sport ClubParaguay,Resistencia Sport Club,Paraguay,1262
2013,Olympic NiameyNiger,Olympic Niamey,Niger,1262
2014,Dinamo-AutoMoldova,Dinamo-Auto,Moldova,1262
2015,Hoang Anh Gia LaiVietnam,Hoang Anh Gia Lai,Vietnam,1262
2016,Parrillas OneHonduras,Parrillas One,Honduras,1262
2017,Harbin YitengChina PR,Harbin YitengChina PR,#N/A,1262
2018,Olympique du KefTunisia,Olympique du Kef,Tunisia,1262
2019,Académica LobitoAngola,Académica Lobito,Angola,1261
2020,Prison LeopardsZambia,Prison Leopards,Zambia,1261
2021,AEL Kalloni FCGreece,AEL Kalloni FC,Greece,1261
2022,Al-Bourj FCLebanon,Al-Bourj FC,Lebanon,1261
2023,FC Wacker InnsbruckAustria,FC Wacker Innsbruck,Austria,1261
2024,EO Sidi BouzidTunisia,EO Sidi Bouzid,Tunisia,1261
2025,Real Kashmir FCIndia,Real Kashmir FC,India,1261
2026,US BitamTahiti,US Bitam,Tahiti,1261
2027,RC BafoussamCameroon,RC Bafoussam,Cameroon,1261
2028,LengthensZimbabwe,Lengthens,Zimbabwe,1261
2029,Chennai City FCIndia,Chennai City FC,India,1261
2030,Ústí nad LabemCzech Republic,Ústí nad Labem,Czech Republic,1261
2031,Radnik BijeljinaBosnia and Herzegovina,Radnik BijeljinaBosnia and,Herzegovina,1261
2032,NIGELECNiger,NIGELEC,Niger,1261
2033,Blessing FCCongo DR,Blessing FCCongo DR,#N/A,1261
2034,Tema YouthGhana,Tema Youth,Ghana,1260
2035,CabindaAngola,Cabinda,Angola,1260
2036,FK KrupaBosnia and Herzegovina,FK KrupaBosnia and,Herzegovina,1260
2037,Victoria BranestiRomania,Victoria Branesti,Romania,1260
2038,BSK BorčaSerbia,BSK Borča,Serbia,1260
2039,Ermis AradippouCyprus,Ermis Aradippou,Cyprus,1260
2040,Berekum ArsenalGhana,Berekum Arsenal,Ghana,1260
2041,Ifira Black BirdVanuatu,Ifira Black Bird,Vanuatu,1260
2042,KiglonZimbabwe,Kiglon,Zimbabwe,1260
2043,FC TskhinvaliGeorgia,FC Tskhinvali,Georgia,1260
2044,Saint GeorgeEthiopia,Saint George,Ethiopia,1260
2045,Estudiantes de MéridaVenezuela,Estudiantes de Mérida,Venezuela,1260
2046,Akademija PandevMacedonia,Akademija Pandev,Macedonia,1259
2047,Llandudno FCWales,Llandudno FC,Wales,1259
2048,Samut Prakan CityThailand,Samut Prakan City,Thailand,1259
2049,Najran SCSaudi Arabia,Najran SC,Saudi Arabia,1259
2050,SiófokHungary,Siófok,Hungary,1259
2051,Njube SundownsZimbabwe,Njube Sundowns,Zimbabwe,1259
2052,El RajaEgypt,El Raja,Egypt,1259
2053,Al Fallah Atbara FCSudan,Al Fallah Atbara FC,Sudan,1259
2054,Herrera FCPanama,Herrera FC,Panama,1259
2055,TavriiaUkraine,Tavriia,Ukraine,1259
2056,Unirea Alba IuliaRomania,Unirea Alba Iulia,Romania,1259
2057,Forest RangersZambia,Forest Rangers,Zambia,1259
2058,Akzhaiyk UralskKazakhstan,Akzhaiyk Uralsk,Kazakhstan,1259
2059,PříbramCzech Republic,Příbram,Czech Republic,1259
2060,PetržalkaSlovakia,Petržalka,Slovakia,1259
2061,Hapoel HaderaIsrael,Hapoel Hadera,Israel,1259
2062,Nchanga RangersZambia,Nchanga Rangers,Zambia,1259
2063,Pérez ZeledónCosta Rica,Pérez Zeledón,Costa Rica,1259
2064,AS-FANNiger,AS-FAN,Niger,1259
2065,FK MetalacSerbia,FK Metalac,Serbia,1258
2066,Sukhothai FCThailand,Sukhothai FC,Thailand,1258
2067,JEF UnitedJapan,JEF United,Japan,1258
2068,KAC KénitraMorocco,KAC Kénitra,Morocco,1258
2069,EGS GafsaTunisia,EGS Gafsa,Tunisia,1258
2070,HasaacasGhana,Hasaacas,Ghana,1258
2071,HobroDenmark,Hobro,Denmark,1258
2072,Dacia BuiucaniMoldova,Dacia Buiucani,Moldova,1258
2073,Accra Lions FCGhana,Accra Lions FC,Ghana,1258
2074,Tamale CityGhana,Tamale City,Ghana,1258
2075,FK Sloga DobojBosnia and Herzegovina,FK Sloga DobojBosnia and,Herzegovina,1258
2076,Police United FCThailand,Police United FC,Thailand,1258
2077,Central SportSyria,Central Sport,Syria,1257
2078,Čelik ZenicaBosnia and Herzegovina,Čelik ZenicaBosnia and,Herzegovina,1257
2079,Al SharkeyahEgypt,Al Sharkeyah,Egypt,1257
2080,AS BamakoMali,AS Bamako,Mali,1257
2081,FK Horizont TurnovoMacedonia,FK Horizont Turnovo,Macedonia,1257
2082,Eleven Wonders FCGhana,Eleven Wonders FC,Ghana,1257
2083,Liga MuçulmanaMozambique,Liga Muçulmana,Mozambique,1257
2084,Baladiyat El Mahalla SCEgypt,Baladiyat El Mahalla SC,Egypt,1257
2085,Metallurg BekobodUzbekistan,Metallurg Bekobod,Uzbekistan,1257
2086,J.S. Groupe BazanoDenmark,J.S. Groupe Bazano,Denmark,1257
2087,Barito PuteraIndonesia,Barito Putera,Indonesia,1257
2088,GFK TikveshMacedonia,GFK Tikvesh,Macedonia,1257
2089,Inter Allies FCGhana,Inter Allies FC,Ghana,1257
2090,Neftochimic Burgas 1962Bulgaria,Neftochimic Burgas 1962,Bulgaria,1257
2091,Punjab Football ClubIndia,Punjab Football Club,India,1257
2092,Anzoátegui F.C.Venezuela,Anzoátegui F.C.,Venezuela,1257
2093,UniversitarioBolivia,Universitario,Bolivia,1257
2094,FC Stade Lausanne-OuchySwitzerland,FC Stade Lausanne-Ouchy,Switzerland,1257
2095,Siquinalá FCGuatemala,Siquinalá FC,Guatemala,1256
2096,Yobe Desert StarsNigeria,Yobe Desert Stars,Nigeria,1256
2097,Admira Wacker MödlingAustria,Admira Wacker Mödling,Austria,1256
2098,Sepidrood Rasht SCIran,Sepidrood Rasht SC,Iran,1256
2099,Gaitcha FCNNew Caledonia,Gaitcha FCN,New Caledonia,1256
2100,Helsingborgs IFSweden,Helsingborgs IF,Sweden,1256
2101,San Juan JablotehTrinidad and Tobago,San Juan JablotehTrinidad and,Tobago,1256
2102,KongsvingerNorway,Kongsvinger,Norway,1256
2103,Nantong Zhiyun FCChina PR,Nantong Zhiyun FCChina PR,#N/A,1256
2104,Ocean PacifiqueDenmark,Ocean Pacifique,Denmark,1256
2105,DenizlisporTurkey,Denizlispor,Turkey,1256
2106,Viettel Football ClubVietnam,Viettel Football Club,Vietnam,1256
2107,Bouaké FCIvory Coast,Bouaké FC,Ivory Coast,1256
2108,Jamshedpur FCIndia,Jamshedpur FC,India,1255
2109,King FaisalGhana,King Faisal,Ghana,1255
2110,Amidaus Professionals FCGhana,Amidaus Professionals FC,Ghana,1255
2111,CS Hammam-LifTunisia,CS Hammam-Lif,Tunisia,1255
2112,YanbianChina PR,YanbianChina PR,#N/A,1255
2113,Gaborone UnitedBotswana,Gaborone United,Botswana,1255
2114,Tallinna JK LegionEstonia,Tallinna JK Legion,Estonia,1255
2115,Ross CountyScotland,Ross County,Scotland,1255
2116,Alamal AtbaraSudan,Alamal Atbara,Sudan,1255
2117,Ittihad Zemouri de KhemissetMorocco,Ittihad Zemouri de Khemisset,Morocco,1255
2118,SandnesNorway,Sandnes,Norway,1255
2119,CA BatnaAlgeria,CA Batna,Algeria,1255
2120,FC NoahArmenia,FC Noah,Armenia,1255
2121,ABM Galaxy FCVanuatu,ABM Galaxy FC,Vanuatu,1255
2122,Mumbai FCIndia,Mumbai FC,India,1255
2123,Makedonija Gjorče PetrovMacedonia,Makedonija Gjorče Petrov,Macedonia,1255
2124,AS PoliceMali,AS Police,Mali,1255
2125,Teungueth FCSenegal,Teungueth FC,Senegal,1255
2126,Mladi RadnikSerbia,Mladi Radnik,Serbia,1255
2127,Arcahaie FCHaiti,Arcahaie FC,Haiti,1254
2128,El MansuraEgypt,El Mansura,Egypt,1254
2129,Newcastle United JetsAustralia,Newcastle United Jets,Australia,1254
2130,Crown FCNigeria,Crown FC,Nigeria,1254
2131,Varbergs BoISSweden,Varbergs BoIS,Sweden,1254
2132,Ekenäs IdrottsföreningFinland,Ekenäs Idrottsförening,Finland,1254
2133,Nkoyi BilombeDenmark,Nkoyi Bilombe,Denmark,1254
2134,LyngbyDenmark,Lyngby,Denmark,1254
2135,RC RelizaneAlgeria,RC Relizane,Algeria,1254
2136,Al-Ain FCSaudi Arabia,Al-Ain FC,Saudi Arabia,1254
2137,SahelNiger,Sahel,Niger,1254
2138,Ankaran HrvatiniSlovenia,Ankaran Hrvatini,Slovenia,1254
2139,Ceahlăul PiatraRomania,Ceahlăul Piatra,Romania,1254
2140,MogrenMontenegro,Mogren,Montenegro,1254
2141,AS Puma GeneraleňaCosta Rica,AS Puma Generaleňa,Costa Rica,1254
2142,Santa Gema FCPanama,Santa Gema FC,Panama,1254
2143,LikasiCongo DR,LikasiCongo DR,#N/A,1254
2144,Doxa DramasGreece,Doxa Dramas,Greece,1254
2145,Ha Noi FCVietnam,Ha Noi FC,Vietnam,1254
2146,CobresolPeru,Cobresol,Peru,1254
2147,Dinamo VranjeSerbia,Dinamo Vranje,Serbia,1253
2148,Alianza Universidad HuanucoPeru,Alianza Universidad Huanuco,Peru,1253
2149,Cavalry FCCanada,Cavalry FC,Canada,1253
2150,Sportul StudentescRomania,Sportul Studentesc,Romania,1253
2151,Gornik LecznaPoland,Gornik Leczna,Poland,1253
2152,Canon BuromecaCongo DR,Canon BuromecaCongo DR,#N/A,1253
2153,Brisbane Roar FCAustralia,Brisbane Roar FC,Australia,1253
2154,Scorpion FC de BéCameroon,Scorpion FC de Bé,Cameroon,1253
2155,Panthrakikos KomotiniGreece,Panthrakikos Komotini,Greece,1253
2156,SrirachaThailand,Sriracha,Thailand,1253
2157,Partizani TiranaAlbania,Partizani Tirana,Albania,1253
2158,El MinyaEgypt,El Minya,Egypt,1253
2159,Persema MalangIndonesia,Persema Malang,Indonesia,1253
2160,Merreikh NyalaSudan,Merreikh Nyala,Sudan,1253
2161,TRAU F.C.India,TRAU F.C.,India,1253
2162,ŠibenikCroatia,Šibenik,Croatia,1253
2163,FK Olympic TashkentUzbekistan,FK Olympic Tashkent,Uzbekistan,1253
2164,APOP / KinyrasCyprus,APOP / Kinyras,Cyprus,1253
2165,FK Arsenal TivatMontenegro,FK Arsenal Tivat,Montenegro,1253
2166,Kansanshi DynamosZambia,Kansanshi Dynamos,Zambia,1253
2167,Tom' TomskRussia,Tom' Tomsk,Russia,1252
2168,USGNNiger,USGN,Niger,1252
2169,Saraburi FCThailand,Saraburi FC,Thailand,1252
